compound_name,smiles,atomic_mass_high,atomic_mass_low,gasteiger_charge_high,gasteiger_charge_low,crippen_logp_high,crippen_logp_low,crippen_mr_high,crippen_mr_low,chi0n,chi1n,chi2n,chi3n,chi4n,chi0v,chi1v,chi2v,chi3v,chi4v,MolLogP,MolMR,ExactMolWt,FractionCSP3,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHBA,NumHBD,NumHeteroatoms,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumSpiroAtoms,TPSA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
c13,COC1=CC(C2=NC(SCC#C)=NC(NNC(N)=S)=C2C#N)=CC(OC)=C1OC,32.16657212068202,10.055639133248503,2.205261602669823,-2.1601317723972695,2.4173362220074477,-2.3434574797636225,7.988931816544046,0.3243980729904194,29.0,7.987678919058108,5.211263084904137,3.5271717664763393,2.354854051459449,29.0,9.38152576917546,6.593588131391319,4.381011148638595,2.9299914966829816,1.9264799999999995,114.9398,430.08818043599996,0.2222222222222222,-3.4100000000000006,21.885207503068127,10.220910644914012,5.102732171501413,177.47141232150946,1,1,0,0,1,0,0,2,2,0,0,0,0,9,3,11,9,4,8,0,127.34,19.944256338562333,10.85158279422077,9.967957041894417,5.261891554738487,6.423349895620259,17.682319268246758,24.350607579969914,5.563451491696996,32.77617422542785,11.63267280448927,27.585759810948304,5.749511833283905,0.0,0.0,14.210588861400147,5.261891554738487,15.393748439004803,5.733667477162185,5.156436481820707,32.508037627689774,17.696185628620217,0.0,46.91892051366535,34.91005805499759,30.7958391327831,42.16264015719857,0.0,23.674897082006662,5.563451491696996,17.289170618743928,0.0,11.257379486545457,0.0,5.817862777835028,17.248535499851716,23.97975839243781,18,0,0,0,0,2,0,4,2,3,0,29,15,1,2,6,6,0,8,12,9,4,3,0,0,7,9,1,0,4,8,0,0,0,0,2,0,0,0,0,0,0
c387,CC1=CC=CC=C1NC2=C(C#N)C(C3=CC=CC=C3)=NC(SCC4=CN(CC5=CC=C(Cl)C=C5)N=N4)=N2,35.49569255070429,10.071001949128997,2.1746857149090664,-2.1368075351687663,2.316090341805465,-2.041471734600665,7.979172690252473,0.6492096564628795,37.0,11.553031951135095,8.318745162325417,5.638745343454109,3.7440753108017173,37.0,12.91659498379781,9.697679583657134,6.771598413213463,4.590990225992754,6.652800000000005,146.78169999999977,523.1345923840001,0.10714285714285714,-4.189999999999999,24.502022464455276,11.249154489361212,5.970139862665418,223.72299748686828,2,2,0,0,3,0,0,5,5,0,0,0,0,8,1,9,7,1,8,0,92.31,5.316788604006331,0.0,14.6497599770396,5.261891554738487,5.098681808301038,89.2398806198946,36.249741388469445,28.22316825848175,17.932612395609496,11.63267280448927,10.974299259655735,0.0,0.0,0.0,0.0,5.261891554738487,24.961826880995506,0.0,24.377783694170695,5.316788604006331,112.4665312452948,0.0,17.32660079933773,34.86807389214222,5.316788604006331,24.961826880995506,12.297610012659364,18.254850067221383,22.384282469939446,90.21605194343473,5.022633313741326,11.257379486545457,0.0,11.50524905251859,0.0,23.36282483962363,28,0,1,0,0,1,0,2,5,0,0,37,11,0,1,15,14,0,8,7,7,1,1,0,0,3,5,0,0,18,11,0,0,0,1,4,0,0,0,0,0,0
c404,ClC1=CC=CC(NC2=C(C#N)C(C3=CC=C(C(C)C)C=C3)=NC(SCC4=CN(CC(NC(NC5=CC=CC=N5)=O)=O)N=N4)=N2)=C1,35.495692997851336,9.992873873574583,2.182345113546027,-2.13484005155798,2.3227981196605643,-2.364010612400516,7.979179960664143,-0.12022541221668488,45.0,13.758470069998308,10.015666964381055,6.338744750310292,4.1568718692743785,45.0,15.122033102661025,11.394601385712775,7.4547186075179015,5.068086474934877,6.162780000000006,171.98809999999972,638.172768784,0.16129032258064516,-5.319999999999999,31.115682754364077,14.43509091734924,8.406523220323956,267.82518249270476,3,3,0,0,2,0,0,5,5,0,0,0,0,11,3,14,12,3,10,0,163.39999999999998,5.316788604006331,15.428114392084485,24.42827568205863,5.261891554738487,5.098681808301038,78.82188674542941,41.81319288016644,34.42001183009482,11.387855989696922,23.995291988236872,10.974299259655735,5.907179729351506,0.0,6.031114512338072,9.589074368143644,5.261891554738487,35.26259400594905,0.0,37.21942694002271,10.633577208012662,100.96718918828766,0.0,17.32660079933773,52.62423091166683,15.950365812018994,41.88409964363229,17.092147196731187,11.33111286753076,36.586211423785095,84.28016137812457,5.022633313741326,11.257379486545457,0.0,22.11764901442544,0.0,23.36282483962363,31,0,1,0,0,1,0,4,6,2,0,45,17,2,1,15,14,0,10,14,12,3,3,0,0,6,7,3,0,18,11,0,0,0,1,4,0,0,0,0,0,0
c436,ClC1=CC=CC(NC(N=C(SCC(NC(NC2=CC=CC=N2)=O)=O)N=C3C4=CC(OC)=C(OC)C(OC)=C4)=C3C#N)=C1,35.49569286295348,10.052800259999541,2.216401348295014,-2.1617419840313907,2.421333403877984,-2.352638511978357,7.993459622588699,-0.11694932738834285,42.0,12.145283058742898,8.245513899073732,5.517632289470637,3.7078696825006756,42.0,13.508846091405614,9.624448320405447,6.600028732633159,4.542193738618377,5.273480000000004,158.69609999999972,605.1248155479998,0.14285714285714285,-5.06,29.911412050474308,14.020998730827717,7.3618622019081466,249.9484468544529,2,2,0,0,2,0,0,4,4,0,0,0,0,11,3,14,12,3,10,0,160.38,19.527377465406477,15.428114392084485,19.746472746913447,5.261891554738487,0.0,35.49555897654685,42.46456947923127,22.47031465173496,32.77617422542785,17.450535582324296,22.473322926223545,11.65669156263541,0.0,6.031114512338072,23.79966322954379,5.261891554738487,20.268724166847957,0.0,5.156436481820707,37.715823438592054,71.3802319932059,0.0,34.575136299189445,52.62423091166683,30.16095467341914,53.97247603511059,4.794537184071822,11.33111286753076,5.563451491696996,65.95058366958828,5.022633313741326,11.257379486545457,0.0,22.11764901442544,17.248535499851716,23.36282483962363,28,0,1,0,0,1,0,4,3,5,0,42,18,2,1,12,12,0,10,17,12,3,3,0,0,7,9,2,0,13,11,0,0,0,0,4,0,0,0,0,0,0
c441,O=C(NC1=CC=CC=N1)NC(CSC2=NC(NC3=CC=C(Cl)C=C3)=C(C#N)C(C4=CC(OC)=C(OC)C(OC)=C4)=N2)=O,35.49569285771143,10.052809062605016,2.2160117704153373,-2.161458655887101,2.4211199838602755,-2.3526380456407088,7.993459585614149,-0.11694932296077236,42.0,12.145283058742898,8.242059575379782,5.537236445431138,3.6748562563424603,42.0,13.508846091405614,9.620993996711498,6.636512101145407,4.444880621990705,5.273480000000004,158.69609999999975,605.124815548,0.14285714285714285,-5.06,29.911412050474308,14.020998730827717,7.3618622019081466,249.94844685445287,2,2,0,0,2,0,0,4,4,0,0,0,0,11,3,14,12,3,10,0,160.38,19.527377465406477,15.428114392084485,19.746472746913447,5.261891554738487,0.0,29.429191908085244,48.53093654769288,22.47031465173496,32.77617422542785,17.450535582324296,22.473322926223545,11.65669156263541,0.0,6.031114512338072,23.79966322954379,5.261891554738487,20.268724166847957,0.0,5.156436481820707,37.715823438592054,71.3802319932059,0.0,34.575136299189445,52.62423091166682,30.16095467341914,53.972476035110596,4.794537184071822,11.33111286753076,5.563451491696996,65.95058366958827,5.022633313741326,11.257379486545457,0.0,22.11764901442544,17.248535499851716,23.36282483962363,28,0,1,0,0,1,0,4,3,5,0,42,18,2,1,12,12,0,10,17,12,3,3,0,0,7,9,2,0,13,11,0,0,0,0,4,0,0,0,0,0,0
c479,O=C(NC1=CC=CC=N1)NC(CSC2=NC(NC3=CC=CC([N+]([O-])=O)=C3)=C(C#N)C(C4=CC(OC)=C(OC)C(OC)=C4)=N2)=O,32.166556427819096,10.052580608903611,2.219826149593835,-2.161069680253797,2.421660471054034,-2.3526386966524315,7.993459562223635,-0.38438000253224064,44.0,12.545055991658375,8.542604683669946,5.749987570441441,3.8388642571801523,44.0,13.53065455131186,9.485103324529678,6.5972869108162255,4.4829004651586555,4.528280000000003,160.34049999999976,616.148866108,0.14285714285714285,-5.95,30.995936523149187,14.288752122713419,7.459951905119045,254.298156350071,2,2,0,0,2,0,0,4,4,0,0,0,0,13,3,16,15,3,11,0,203.51999999999998,19.527377465406477,25.542432660850054,19.746472746913447,5.261891554738487,0.0,23.894619086314336,30.33183534230805,29.58041547491685,37.69948527424552,17.450535582324296,22.473322926223545,11.65669156263541,5.687386274683562,6.031114512338072,28.722974278361463,5.261891554738487,20.268724166847957,0.0,5.156436481820707,37.715823438592054,76.47191694823015,0.0,34.575136299189445,46.710677296117865,30.16095467341914,58.89578708392826,4.794537184071822,21.44543113629633,5.563451491696996,65.95058366958827,0.0,11.257379486545457,0.0,27.805035289109,17.248535499851716,11.761884949391115,28,0,0,0,0,1,0,5,3,7,0,44,19,3,1,12,12,0,11,23,15,3,3,1,1,8,9,3,0,13,11,0,0,0,0,4,0,0,0,0,0,0
