,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
params,"{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 1, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 1, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 50, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': SVC(C=50, gamma=0.0001, probability=True), 'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf', 'sclr__scaler': StandardScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.1, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-05, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-07, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 10, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 12, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': MLPClassifier(alpha=0.1, hidden_layer_sizes=10, solver='lbfgs'), 'clf__alpha': 1e-09, 'clf__hidden_layer_sizes': 14, 'clf__solver': 'lbfgs', 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 3, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 5, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 5, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 7, 'clf__n_estimators': 10, 'sclr__scaler': MinMaxScaler()}","{'clf': RandomForestClassifier(max_depth=3), 'clf__max_depth': 7, 'clf__n_estimators': 100, 'sclr__scaler': MinMaxScaler()}"
split0_test_score,0.8,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.8
split1_test_score,0.8,0.8,0.7,0.9,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.5,0.7,0.6,0.6,0.6,0.7,0.8,0.6,0.9,0.9,0.8,0.9,0.8,0.9
split2_test_score,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
split3_test_score,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0
split4_test_score,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888
mean_test_score,0.8355555555555556,0.8355555555555556,0.8377777777777776,0.8755555555555556,0.7533333333333332,0.7755555555555556,0.7977777777777778,0.7977777777777778,0.7977777777777778,0.7355555555555555,0.7577777777777779,0.7555555555555555,0.7733333333333333,0.7977777777777778,0.7955555555555556,0.7533333333333332,0.7733333333333333,0.7733333333333333,0.7933333333333332,0.8133333333333335,0.7933333333333332,0.8533333333333333,0.8777777777777779,0.8355555555555556,0.8755555555555556,0.8133333333333335,0.8777777777777779
std_test_score,0.04354648431614534,0.04354648431614534,0.10076252487781898,0.0381031737766272,0.09747427644205027,0.1596910597619705,0.16605814837572805,0.16605814837572805,0.16605814837572805,0.1816794083197306,0.20444444444444446,0.14555131461166945,0.09469900334516675,0.16605814837572805,0.10990456016780659,0.09747427644205027,0.09469900334516675,0.09469900334516675,0.06028737762778016,0.03874576838702818,0.10786365421788087,0.053240660225381944,0.07436978013636225,0.04354648431614534,0.0381031737766272,0.03874576838702818,0.07436978013636225
rank_test_score,7,7,6,3,25,19,12,12,12,27,23,24,20,12,16,25,20,20,17,10,17,5,1,7,3,10,1
split0_train_score,0.8421052631578947,0.8421052631578947,0.9736842105263158,0.8947368421052632,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,0.9736842105263158,1.0,1.0,1.0,0.9736842105263158,1.0
split1_train_score,0.8421052631578947,0.8421052631578947,0.9473684210526315,0.8947368421052632,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,1.0,0.9736842105263158,1.0,1.0,1.0
split2_train_score,0.8421052631578947,0.8421052631578947,0.9736842105263158,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
split3_train_score,0.8205128205128205,0.8205128205128205,0.9230769230769231,0.8461538461538461,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,0.9743589743589743,0.9230769230769231,1.0,0.9743589743589743,1.0
split4_train_score,0.8205128205128205,0.8205128205128205,0.9230769230769231,0.8974358974358975,1.0,0.9743589743589743,1.0,0.9743589743589743,1.0,0.9487179487179487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0
mean_train_score,0.8334682860998649,0.8334682860998649,0.9481781376518219,0.8908232118758435,1.0,0.9792172739541162,1.0,0.9948717948717949,1.0,0.9897435897435898,1.0,1.0,1.0,1.0,1.0,0.9894736842105264,0.9947368421052631,1.0,1.0,1.0,1.0,0.9843454790823213,0.9897435897435898,0.9742240215924427,1.0,0.989608636977058,1.0
std_train_score,0.01057809335614867,0.01057809335614867,0.022635887851812725,0.024427569109730735,0.0,0.010395743682899191,0.0,0.010256410256410265,0.0,0.02051282051282053,0.0,0.0,0.0,0.0,0.0,0.02105263157894739,0.010526315789473672,0.0,0.0,0.0,0.0,0.012784237336345516,0.012561485860426564,0.028089633036144465,0.0,0.012728557217329656,0.0
